child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear,CB,callnumber
eamcrc,ja80,EAMCRC,JA80,Eurocentrism : a Marxian critical realist critique ,Nick Hostettler,9780415565103;0415565103;9780203861905;0203861906,Routledge,2012,yes,ja84ea
ohog,ja700,OHOG,JA700,Oxford handbook of governance ,edited  David Levi-Faur,9780199560530;0199560536,Oxford University Press,2012,yes,ja71 oho
ppsapt,ja700,PPSAPT,JA700,Philosophic pride : Stoicism and political thought from Lipsius to Rousseau ,Christopher Brooke,9780691152080;069115208X,Princeton University Press,2012,yes,ja71 pp
fpav,ja700,FPAV,JA700,Foucault; politics; and violence ,Johanna Oksala,9780810128026;0810128020;9780810128033;0810128039,Northwestern University Press,2012,yes,ja71 fpa
pptet,ja700,PPTET,JA700,Political philosophy : the essential texts ,edited  Steven M Cahn,0195177088;9780195177084,Oxford University Press,2005,yes,ja71 pp
ptfatc,jk1000,PTFATC,JK1000,Philosophy; the Federalist and the Constitution ,Morton White,9780195039115;0195039114;9780195059489;0195059484,OUP,1987,yes,jk155 ptf
lapash,ja800,LAPASH,JA800,Liberty and property : a social history of Western political thought from Renaissance to Enlightenment ,Ellen Meiksins Wood,9781844677528;1844677524,Verso,2012,yes,ja83 lap
iamerm,ja700,IAMERM,JA700,Interpretation and method : empirical research methods and the interpretive turn ,edited  Dvora Yanow and Peregrine Schwartz-Shea,9780765635396;0765635399;9780765635402;0765635402,ME Sharp Inc,2014,,ja71 iam
chariep,ja80,CHARIEP,JA80,Classical humanism and republicanism in English political thought; 1570-1640 ,Markku Peltonen,0521496950,Cambridge University Press,1995,,ja84cha
ppavsi,ja700,PPAVSI,JA700,Political philosophy : a very short introduction ,David Miller,9780192803955;0192803956,Oxford University Press,2003,yes,ja71 pp
lothopp,ja700,LOTHOPP,JA700,Lectures on the history of political philosophy ,John Rawls ; edited  Samuel Freeman,0674024923;9780674024922,Belknap Press of Harvard University Press,2007,,ja71 lot
vcaheo,ja80,VCAHEO,JA80,Virtue; commerce; and history : essays on political thought and history; chiefly in the eighteenth century ,JGA Pocock,0521257018;0521276608,Cambridge University Press,1985,,ja84vca
cpprs,ja700,CPPRS,JA700,Contemporary political philosophy : radical studies ,edited  Keith Graham,9780521245517;0521245516;9780521287838;0521287839,Cambridge University Press,1982,,ja71 cpp
e100,e,E100,E,,,,,,yes,
jk4000,jk,JK4000,JK,,,,,,,
ja80,ja,JA80,JA,,,,,,,
f300,f,F300,F,,,,,,,
f500,f,F500,F,,,,,,,
f800,f,F800,F,,,,,,,
f400,f,F400,F,,,,,,,
jk400,jk,JK400,JK,,,,,,,
ja800,ja,JA800,JA,,,,,,,
e200,e,E200,E,,,,,,yes,
e1000,e,E1000,E,,,,,,yes,
ja700,ja,JA700,JA,,,,,,,
e300,e,E300,E,,,,,,yes,
jk1000,jk,JK1000,JK,,,,,,,
e500,e,E500,E,,,,,,,
db,e500,DB,E500,Dummy book,Dummy author,123456789,Dummy publisher,2023,yes,
