child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
root,,root,,,,,,
e,root,E,root,,,,,
f,root,F,root,,,,,
j,root,J,root,,,,,
ja,j,JA,J,,,,,
jk,j,JK,J,,,,,
e1834d,e100,E1834D,E100,444 days : The american hostage story ,Sid Moody and the News Staff and photographers of The Associated Press,0831745703;0831745711,New York : Rutledge Press,1981
e1834d,e100,E1834D,E100,444 days : the hostages remember ,Tim Wells,015132803X;9780151328031,San Diego : Harcourt Brace Jovanovich,1985
e183atp,e100,E183ATP,E100,After the Palestine-Israel War : limits to US and Israeli policy ,Khalil Nakhleh and Clifford A Wright,0912031018;9780912031019,Belmont,1983
e183afd,e100,E183AFD,E100,All fall down : America's tragic encounter with Iran,Khalil Nakhleh and Clifford A Wright,0394544889;9780394544885,New York : Random House,1985
e183aae,e100,E183AAE,E100,America and Egypt : from Roosevelt to Eisenhower ,Matthew F Holland,0275954749;9780275954741,Westport,1996
e183ahi,e100,E183AHI,E100,American hostages in Iran the conduct of a crisis,Matthew F Holland,300023332,London : Yale University Press,1985
e183aa,e100,E183AA,E100, Abraham A Ribicoff ; under the editorial direction of Paul H Kreisberg,Warren Christopher [and others] ; with commentaries  Oscar Schachter,American hostages in Iran : the conduct of a crisis ,0300032331;9780300032338,New Haven : Yale University Press
e183apo,e100,E183APO,E100,American public opinion toward Israel and the Arab-Israeli conflict ,Eytan Gilboa,0669134260;9780669134261,Lexington,1987
e184aah,e100,E184AAH,E100,An ancient heritage :the Arab-American minority ,Brent Ashabranner ; photographs  Paul S Conklin,0060200480;9780060200480;0060200499;9780060200497;0397324340;9780397324347;0397324359;9780397324354,New York : HarperCollins,1991
e184btf,e100,E184BTF,E100,Before the flames : a quest for the history of Arab Americans ,Gregory Orfalea,292707487,Austin : University of Texas Press,1988
jk468 vt,jk4000,JK468 VT,JK4000,Veil : the secret wars of the CIA 1981-1987 ,Bob Woodward,0671655434;9780671655433,London : Simon & Schuster,1987
e183bwm,e100,E183BWM,E100,Breaking with Moscow ,Arkady N Shevchenko,224028049,London : Cape,1985
e183bc,e100,E183BC,E100,Broken covent : American foreign policy and the crisis between the U.S. and Israel ,Moshe Arens,0671869647;9780671869649,Simon & Schuster,1995
e184cot,e100,E184COT,E100,Children of the roojme : a family's journey ,Elmaz Abinader,0393029522;9780393029529,New York : Norton,1991
e183bwa,e100,E183BWA,E100,Between Washington and Jerusalem : a reporter's notebook ,Wolf Blitzer,195037081,New York : Oxford University Press,1985
e183df,e100,E183DF,E100,Delta force ,Charlie A Beckwith and Donald Knox,0151246572;9780151246571,San Diego : Harcourt brace jovanovich,1983
e183eai,e100,E183EAI,E100,Eisenhower and Israel : US-Israeli relations 1953-1960 ,Isaac Alteras,0813012058;9780813012056;0813012066;9780813012063,Gainesville : University Press of Florida,1993
ja88eop,ja80,JA88EOP,JA80,Essays on political education ,Bernard Crick and Derek Heater,0815273044;0905273036;9780905273037,Ringmer [England] : Falmer Press,1977
f317fgc,f300,F317FGC,F300,Florida's gulf coast ,Photographed  Clyde H Smith,0930527186 : $30.00;9780930527181,Old Saybrook,1991
f595gp,f500,F595GP,F500,Great Plains ,Ian Frazier,0374217238;9780374217235,New York : Farrar Straus Giroux,1989
e183got,e100,E183GOT,E100,Guest of the revolution ,Kathryn Koob,0840741057 : $12.95;9780840741059,Nashville : T Nelson Pub,1982
e183h,e100,E183H,E100,Hostage ,Sheldon D Engelmayer and Robert J Wagman,0898030846;9780898030846,Ottawa,1981
e183iai,e100,E183IAI,E100,Imagery and ideology in US policy toward Libya 1969-1982 ,Mahmoud G ElWarfally,0822935805;9780822935803,Pittsburgh : University of Pittsburgh Press,1988
e183iao,e100,E183IAO,E100,Inside and out hostage to Iran hostage to myself,Ensio Siilasvuo,399126457,New York : GP Putnam's Sons,1981
e183wp,e100,E183WP,E100, with Patricia Hass,Richard Queen,Inside and out : hostage to Iran hostage to myself ,399126457,New York : Putnam
e183iia,e100,E183IIA,E100,Iran Israel and the United States : an American foreign policy background study ,Henry Paolucci,0918680441;9780918680440,Whitestone,1991
f869c;,f800,F869C;,F800, co-editor ; Anita Col,edited  Ron Kelley ; Jonathan Friedlander, associate editor ; photography  Ron Kelley,Irangeles : Iranians in Los Angeles ,0520080084;9780520080089;0520080092;9780520080096
e183iit,e100,E183IIT,E100,Israel in the mind of America ,Peter Grose,0394516583;9780394516585,New York : Knopf,1983
e184jp,e100,E184JP,E100,Jewish power : inside the American Jewish establishment ,JJ Goldberg,0201327988;9780201327984;0201622424;9780201622423,Reading,1997
f449ka,f400,F449KA,F400,Kentucky : a photographic celebration ,text  Don Edwards ; photographs  William Strode,0938314858;9780938314851;0938314874 : 12.95;9780938314875,Helena,1990
jk468kh,jk400,JK468KH,JK400,Killing hope : US military and CIA interventions since World War II ,William Blum,1567510531;9781567510539;1567510523;9781567510522,Monroe,1995
e183lfa,e100,E183LFA,E100,Love from America : a newsman's account of efforts to aid hostages in Tehran ,Alex Paen ; written with James H Brown,0915677334;9780915677337,Santa Monica,1989
ja82 wt,ja800,JA82 WT,JA800, with the collaboration of Ernest L Fortin,Edited  Ralph Lerner and Muhsin Mahdi,Medieval political philosophy : a sourcebook ,0801491398;9780801491399,Ithaca
e183naa,e100,E183NAA,E100,Nasser and American foreign policy 1952-1956 ,Muhammad Abd el-Wahab Sayed-Ahmed,1870326148;9781870326148,London : LAAM,1989
e183nos,e100,E183NOS,E100,Nest of spies : America's journey to disaster in Iran ,Amir Taheri,0091734584;9780091734589,London : Hutchinson,1988
e184oi,e100,E184OI,E100,Occidentalism : images of the West ,edited  James G Carrier,0198279787;9780198279785;0198279795;9780198279792,Oxford : Clarendon Press ; New York : Oxford University Press,1995
e183owo,e100,E183OWO,E100,On wings of eagles ,Ken Follett,000217006X;9780002170062,London : Collins,1983
e183pwg,e100,E183PWG,E100,Paved with Good Intentions : the American Experience and Iran ,Barry Rubin,0195028058;9780195028058,OUP,1980
e183pot,e100,E183POT,E100,Pieces of the game : the human drama of Americans held hostage in Iran ,Charles W Scott,0931948517 : $14.95;9780931948510,Atlanta, S26
ja84pti,ja80,JA84PTI,JA80,Political trends in the Arab world : the role of ideas and ideals in politics ,Majid Khadduri,0801811228;9780801811227,Baltimore : Johns Hopkins Press,1970
e176pot,e100,E176POT,E100,Presidents of the United States ,Edward Grey,0600560066;9780600560067,London : Hamlyn,1988
e183plc,e100,E183PLC,E100,Promised land; crusader state : the American encounter with the world since 1776 ,Walter A McDougall,0395830850;9780395830857;0395901324;9780395901328,Houghton Mifflin,1998
e183saa,e100,E183SAA,E100,Saudi Arabia and the United States : birth of a security partnership ,Parker T Hart,0253334608;9780253334602,Bloomington : Indiana University Press,1998
