child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
root,,root,,,,,,
e,root,e,root,,,,,
j,root,j,root,,,,,
ja,j,JA,J,,,,,
jb,j,JB,J,,,,,
e101tdo,e100,E101TDO,E100,The discovery of mankind : Atlantic encounters in the age of Columbus , David. Abulafia,0300125828; 9780300125825,Yale University Press,2008
e101lc,e100,E101LC,E100,Les conquistadors , Jean. Descola,9782253023869; 2253023868,Fayard,1954
e101fio,e100,E101FIO,E100,First Images of America : the Impact of the New World on the Old , Jean. Descola,9780520030107; 0520030109,U of California P,1976
e101mp,e100,E101MP,E100,Marvelous possessions : the wonder of the New World , Stephen Greenblatt,9780198123828; 0198123825; 9780198122661; 0198122667,Clarendon Press,1991
e101tmo,e100,E101TMO,E100,The meeting of two worlds : Europe and the Americas 1492-1650 , Stephen Greenblatt,9780197261347; 0197261345,OUP for the Academy,1993
e101ted,e100,E101TED,E100,The European discovery of America : the northern voyages; A.D. 500-1600 , Samuel Eliot Morison,,OUP,1971
e101tge,e100,E101TGE,E100,The great explorers : the European discovery of America , Samuel Eliot Morison,9780195023145; 0195023145,OUP,1978
e101tnc,e100,E101TNC,E100,The Northmen; Columbus and Cabot; 985-1503., Samuel Eliot Morison,,Barnes,1959
e101tao,e100,E101TAO,E100,The age of discovery; 1400-1550 , Dan. O'Sullivan,9780582353725; 0582353726,Longman,1984
e101eva,e100,E101EVA,E100,Early voyages and northern approaches; 1000-1632 , T. J. Oleson,,Oxford UP,1964
e101naf,e100,E101NAF,E100,North America from earliest discovery to first settlements : the Norse voyages to 1612 , David B. Quinn,9780060134587; 0060134585,Harper & Row,1977
e101nad,e100,E101NAD,E100,North American discovery; circa 1000-1612 , David B. Quinn,9780061392443; 0061392448,Harper & Row,1971
e101rda,e100,E101RDA,E100,Race; discourse and the origin of the Americas : a new world view , David B. Quinn,9781560985075; 1560985070,Smithsonian Institute P,1995
e101bg,e100,E101BG,E100,Beyond geography : the western spirit against the wilderness , Frederick W. Turner,0813519098; 9780813519098,Rutgers University Press,1992
e103ab,e100,E103AB,E100,America B.C. : ancient settlers in the New World , Barry. Fell,9780704503274; 0704503271,Wildwood House,1978
e1031t,e100,E1031T,E100,1491 : the Americas before Columbus , Charles C. Mann,9781862078765; 1862078769,Granta,2006
e105wt,e100,E105WT,E100,Westviking : the ancient Norse in Greenland and North America , F. Mowat,,Little Brown & Co,1965
e109mat,e100,E109MAT,E100,Madoc and the discovery of America : some new light on an old controveersy , Richard. Deacon,,Muller,1966
e109mt,e100,E109MT,E100,Madoc : the making of a myth , O. A. A. A. Fadipe-Ogundugba,9780413394507; 0413394506,Eyre Methuen,1979
e109tcb,e100,E109TCB,E100,They came before Columbus : the African presence in ancient America , Ivan. Van Sertima,9780394402451; 0394402456,Random,1977
e110tio,e100,E110TIO,E100,The invention of America : an inquiry into the historical ture of the New World and the meaning of its history , Edmundo. O'Gorman,9780837164700; 0837164702,Greenwood P,1972
e110ah,e100,E110AH,E100,American holocaust : the conquest of the New World , David E. Stanrd,9780195075816; 0195075811; 9780195085570; 0195085574,Oxford University press,1992
e110soc,e100,E110SOC,E100,Seeds of change : a quincentennial commemoration , David E. Stanrd,9781560980360; 1560980362,Smithsonian Institution P,1991
e111tta,e100,E111TTA,E100,The truth about Columbus and the discovery of America , C. Duff,,Jarrolds,1957
e111c,e100,E111C,E100,Columbus , Felipe. Feŕndez-Armesto,9780192852601; 0192852604,OUP,1991
e111tla,e100,E111TLA,E100,The life and voyages of Christopher Columbus , Washington Irving,,Nelson,1897
e111aot,e100,E111AOT,E100,Admiral of the Ocean Sea : a Life of Christopher Columbus , Samuel Eliot Morison,,Little Brown,1942
e111ccm,e100,E111CCM,E100,Christopher Columbus; mariner , Samuel Eliot Morison,,Faber,1956
e111woc,e100,E111WOC,E100,Worlds of Christopher Columbus , William D. Phillips,9780521446525; 052144652X,Cambridge University Press,1993
e111cop,e100,E111COP,E100,Conquest of paradise : Christopher Columbus and the Columbian legacy , Kirkpatrick. Sale,9780340533833; 0340533838,Hodder and Stoughton,1990
e111tmh,e100,E111TMH,E100,The mysterious history of Columbus : an exploration of the man; the myth; the legacy , John Noble. Wilford,9780679404767; 0679404767,Knopf,1991
e111cca,e100,E111CCA,E100,Christopher Columbus and the new world of his discovery , F. Young,,Richards,1911
e112adc,e100,E112ADC,E100,America discovers Columbus : how an Italian explorer became an American hero , Claudia L. Bushman,9780874515763; 0874515769,UP of New England,1992
e118tdo,e100,E118TDO,E100,The diario of Christopher Columbus's first voyage to America 1492-1493 , Christopher. Columbus,9780806123844; 0806123842,U of Oklahoma P,1989
e118tfv,e100,E118TFV,E100,The four voyages of Christopher Columbus : being his own log-book; letters and dispatches with connecting rrative drawn from the Life of the Admiral by his son Herndo Colon and other contemporary historians , Christopher. Columbus,,Penguin,1969
e118tj,e100,E118TJ,E100,The jourl , Christopher. Columbus,,Hakluyt Society,1960
e118sdi,e100,E118SDI,E100,Select documents illustrating the four voyages of Columbus.. , L. C. Jane,,Hakluyt Society,1930
e118cca,e100,E118CCA,E100,Christopher Columbus and the enterprise of the Indies : a brief history with documents , Geoffrey. Symcox,9781403968074; 1403968071,Palgrave Macmillan,2005
e121teo,e100,E121TEO,E100,The Explorers of North America; 1492-1806 , J. B. Brebner,,Black,1964
e121tfv,e100,E121TFV,E100,The four voyages of Christopher Columbus , Christopher. Columbus,9780140442175; 0140442170,Penguin,1969
e121tsf,e100,E121TSF,E100,The search for El Dorado , John Hemming,9780718117542; 0718117549,Michael Joseph,1978
e121tnw,e100,E121TNW,E100,The New World : the first pictures of America...with contemporary rratives of the Huguenot settlement in Florida; 1562-1565; and the Virginia colony; 1585-1590 , S. Lorant,,Duell,1946
e121ted,e100,E121TED,E100,The European discovery of America : the southern voyages; A.D.1492-1616 , Samuel Eliot Morison,,OUP,1974
e121tdo,e100,E121TDO,E100,The discovery of South America , J. H. 1914- (John Horace) Parry,9780236176755; 0236176757,Elek,1979
e121scn,e100,E121SCN,E100,Sixteenth century North America : the land and the people as seen by the Europeans , C. O. Sauer,9780520018549; 0520018540,U of California P,1971
e121cop,e100,E121COP,E100,Ceremonies of possession in Europe's conquest of the New World; 1492-1640 , Patricia. Seed,9780521497572; 0521497574,CUP,1996
e123cta,e100,E123CTA,E100,Columbus then and now : a life reexamined , Miles H. Davidson,9780806129341; 0806129344,U of Oklahoma P,1997
e123tit,e100,E123TIT,E100,ture in the New World : from Christopher Colombus to Gonzalo Ferndez de Oviedo , Antonello. Gerbi,9780822935162; 0822935163,U of Pittsburgh P,1986
e123sia,e100,E123SIA,E100,Spain in America , Charles Gibson,,Harper,1966
