CallNumber,Author,Title,ISBN,PubName,PubYear
E 840.8.H285 BAI, Matt Bai,All the truth is out : the week politics went tabloid ,9780385353120; 038535312X; 0307273385; 9780307273383; 0307474682; 9780307474681,Alfred A Knopf,2014
E 840.8.H44 LIN, William A. Link,Righteous warrior : Jesse Helms and the rise of modern conservatism ,0312356005; 9780312356002,St Martin's Press,2008
E 840.8.H64 PAC, George Packer,Our man : Richard Holbrooke and the end of the American century ,1910702927; 9781910702925,Jothan Cape,2019
E 840.8.J33 KAU, Robert Gordon. Kaufman,Henry M. Jackson : a life in politics ,9780295979625; 0295979623,University of Washington Press,2000
E 840.8.J35 Hou, Ernest R. House,Jesse Jackson and the politics of charisma : the rise and fall of the PUSH-Excel program ,9780813307671; 0813307678,Westview P,1988
E 840.8.J62 Rog, Mary Beth. Rogers,Barbara Jordan : American hero ,9780553106039; 0553106031,Bantam Books,1998
E 840.8.K35 KEN, Edward M. 1932-2009. (Edward Moore) Kennedy,True compass : a memoir ,1408702282; 9781408702284; 1408702371; 9781408702376,Little Brown,2009
E 840.8.K35 Ler, Max Lerner,Ted and the Kennedy Legend : a Study in Character and Destiny ,9780312790431; 0312790430,St Martin's P,1980
E 840.8.K35 Lev, M. B. Levin,Edward Kennedy : the Myth of Leadership ,9780395292495; 0395292492,Houghton Mifflin,1980
E 840.8.K4 DeT, R. De Toledano,R.F.K. : the man who would be president ,,Putm,1967
E 840.8.K4 Hal, David. Halberstam,The unfinished odyssey of Robert Kennedy ,,Barrie,1968
E 840.8.K4 Hey, Clemens David. Heymann,R.F.K. : a candid biography of Robert F. Kennedy ,9780434329373; 0434329371,Heinemann,1998
E 840.8.K4 Hon, Clemens David. Heymann,An honorable profession : a tribute to Robert F. Kennedy ,,Doubleday,1968
E 840.8.K4 Lai, Margaret Irene. Laing,Robert Kennedy ,,Macdold,1968
E 840.8.K4 New, J. Newfield,Robert Kennedy : a memoir ,,Cape,1969
E 840.8.K4 STE, Jean. Stein,American journey : the times of Robert Kennedy ,,Harcourt,1970
E 840.8.K4 Sch, Arthur M. Schlesinger,Robert Kennedy and his times ,9780395248973; 0395248973,Houghton Mifflin,1978
E 840.8.K4 Sha, W. V. Shannon,The heir apparent : Robert Kennedy and the struggle for power ,,Macmillan,1967
E 840.8.K4 Van, W. J. Vanden Heuvel,On his own : Robert F. Kennedy; 1964-1968 ,,Doubleday,1970
E 840.8.K55 COL, Peter Collier,Political woman : the big little life of Jeane Kirkpatrick ,9781594036040; 1594036047,Encounter Books,2012
E 840.8.K58 A38, Henry A. 1923- (Henry Alfred) Kissinger,The White House years ,9780718118686; 0718118685,Weidenfeld,1979 et
E 840.8.K58 A385, Henry A. 1923- (Henry Alfred) Kissinger,Years of Upheaval ,9780718121150; 0718121155,Weidenfeld,1982
E 840.8.K58 A387, Henry A. 1923- (Henry Alfred) Kissinger,Years of renewal ,9780297818946; 0297818945,Weidenfeld & Nicolson,1999
E 840.8.K58 Cle, Gregory D. Cleva,Henry Kissinger and the American approach to foreign policy ,9780838751473; 0838751474,Bucknell UP,1989
E 840.8.K58 Dic, P. W. Dickson,Kissinger and the meaning of history ,9780521221139; 0521221137,CUP,1978
E 840.8.K58 Gra, S. R. Graubard,Kissinger : portrait of a mind ,,Norton,1973
E 840.8.K58 HIT, Christopher. Hitchens,The trial of Henry Kissinger ,9781859843987; 1859843980,Verso,2002
E 840.8.K58 Her, Seymour M. Hersh,Kissinger : the price of power : Henry Kissinger in the Nixon White House ,9780571131754; 0571131751,Faber,1983
E 840.8.K58 Isa, Walter. Isaacson,Kissinger : a biography ,9780571168583; 0571168582,Faber,1992
E 840.8.K58 Kal, M. Kalb,Kissinger ,,Hutchinson,1974
E 840.8.K58 Maz, B. Mazlish,Kissinger : the European mind in American policy ,9780465037278; 0465037275,Basic Books,1976
E 840.8.K58 STR, Robert A. Strong,Bureaucracy and statesmanship : Henry Kissinger and the making of American foreign policy ,9780819154521; 0819154520; 9780819154538; 0819154539,White Burkett Miller Center; University Press of America,1986
E 840.8.K58 SUR, Jeremi. Suri,Henry Kissinger and the American century ,0674032527; 9780674032521,Belkp,2007
E 840.8.K58 Sta, Harvey. Starr,Henry Kissinger : perceptions of intertiol politics ,9780813115009; 0813115000,UP of Kentucky,1984
E 840.8.L33 Kin, Dennis. King,Lyndon LaRouche and the new American fascism ,9780385238809; 0385238800,Doubleday,1989
E 840.8.L43 A3, John Lewis,March.,1603093834; 9781603093835,Top Shelf Productions,2016
E 840.8.L5 A3, J. V. Lindsay,Journey into politics : some informal observations ,,Hamilton,1968
E 840.8.M34 A52, G. S. McGovern,An American journey : the Presidential campaign speeches of George McGovern ,,Random House,1974
E 840.8.M345 A32, J. S. Magruder,An American life : one man's road to Watergate ,,Hodder,1974
E 840.8.M345 A34, J. S. Magruder,From power to peace ,9780849900747; 0849900743,Word Books,1978
E 840.8.M46 BLI, James G. Blight,The fog of war : lessons from the life of Robert S. Mcmara ,9780742542204; 0742542203; 9780742542211; 0742542211,Rowman & Littlefield,2005
E 840.8.M46 FOG, James G. Blight,The fog of war ,,Columbia Tristar Home Entertainment,2005
E 840.8.M467 MAC, John McCain,Faith of my fathers : a family memoir ,1906142270; 9781906142278,Gibson Square,2008
E 840.8.M66 Lew, F. Lewis,Mondale : portrait of an American politician ,9780060125998; 0060125993,Harper,1980
E 840.8.O54 A3, Tip. O'Neill,Man of the House : the life and political memoirs of Speaker Tip O'Neill ,9780394552019; 0394552016,Random House,1987
E 840.8.R48 BUM, Elisabeth. Bumiller,Condoleezza Rice : an American life : a biography ,1400065909; 9781400065905,Random House,2007
E 840.8.R67 MIL, David Milne,America's Rasputin : Walt Rostow and the Vietm War ,9780374531621; 0374531625; 0374103860; 9780374103866,Hill and Wang,2008
E 840.8.R84 A3, Dold Rumsfeld,Known and unknown : a memoir ,159523067X; 9781595230676,Sentinel,2011
E 840.8.S38 SCH, David F. Schmitz,Brent Scowcroft : intertiolism and post-Vietm War American foreign policy ,0742570401; 9780742570405,Rowman & Littlefield,2011
E 840.8.S53 A3, George P. Shultz,Turmoil and triumph : my years as secretary of state ,9780684803326; 0684803321,Charles Scribner's Sons,1993
E 841 Abe, Elie. Abel,The missiles of October : the Cuban crisis 1962 ,,Lippincott,1966
E 841 Abe, Elie. Abel,The missiles of October : the story of the Cuban missile crisis 1962 ,9780261631625; 0261631624,Macgibbon,1969
E 841 Bac, Elie. Abel,Back to the brink : proceedings ,9780819179241; 0819179248,Harvard U Center for Science & Int'l Affairs,1992
E 841 Ber, Irving Bernstein,Promises kept : John F. Kennedy's new frontier ,9780195046410; 0195046412,OUP,1991
E 841 Bes, Michael R. Beschloss,Kennedy v. Khrushchev : the crisis years 1960-63 ,9780571165483; 0571165486,Faber,1991
E 841 Bli, James G. Blight,On the brink : Americans and Soviets reexamine the Cuban missile crisis ,9780374226343; 0374226342,Hill & Wang,1989
