CallNumber,Author,Title,ISBN,PubName,PubYear,CB
JV8749.P3 P47,Joan Peters,From time immemorial : The origins of the Arab-Jewish conflict over Palestine ,0060152656 : $19.95;9780060152659,New York : Harper & Row,1984,no
E840.5.S38 A3,written with Peter Petre,General H Norman Schwarzkopf : the autobiography : it doesn't take a hero ,0553089447;9780553089448,New York : Bantam Books,1992,no
JQ224 .M583,BB Misra,Government and bureaucracy in India 1947-1976 ,0195615972;9780195615975,Delhi ; New York : Oxford University Press,1986,no
F595.3 .F7,Ian Frazier,Great Plains ,0374217238;9780374217235,New York : Farrar Straus Giroux,1989,no
E183.8.I55 K664,Kathryn Koob,Guest of the revolution ,0840741057 : $12.95;9780840741059,Nashville : T Nelson Pub,1982,no
E840.8.N67 B73,Ben Bradlee, Jr,Guts and glory : the rise and fall of Oliver North ,1556110537;9781556110535,New York : DI Fine,no
E183.8.I55 E53,Sheldon D Engelmayer and Robert J Wagman,Hostage ,0898030846;9780898030846,Ottawa,1981,no
JC599.I655 H65,Middle East Watch,Human rights in Iraq ,0300049595;9780300049596,New Haven ; London : Yale University Press,1990,no
E183.8.L75 E49,Mahmoud G ElWarfally,Imagery and ideology in US policy toward Libya 1969-1982 ,0822935805;9780822935803,Pittsburgh : University of Pittsburgh Press,1988,no
JQ1825.P365 .D47,[] Shlomo A Deshen; foreword  Max Gluckman,Immigrant voters in Israel : parties and congregations in a local election campaign ,0719004217;9780719004216,Manchester : Manchester UP,1970,no
JX1981.P7 S495,Ensio Siilasvuo,In the service of peace in the Middle East 1967-1979 ,1850651396;9781850651390;0312071515;9780312071516,London : C Hurst ; New York : St Martin's Press,1992,no
E183.8.I55 Q43,Ensio Siilasvuo,Inside and out hostage to Iran hostage to myself,399126457,New York : GP Putnam's Sons,1981,no
E183.8.I55 Q43,Richard Queen, with Patricia Hass,Inside and out : hostage to Iran hostage to myself ,399126457,New York : Putnam,no
JX4541 .K53,Daoud L Khairallah ; pref  William W Bishop, Jr,Insurrection under international law with emphasis on the rights and duties of insurgents ,,Beirut : Lebanese University : Librairie du Liban,no
JX1907 .A8,Daoud L Khairallah ; pref  William W Bishop, Jr,International Concilation No 550,,New York : Carnegie Endowment for international Peace,no
JV8760 .B57,JS Birks and CA Sinclair,International migration and development in the Arab region ,922102251X;9789221022510;9221022528;9789221022527;9121022528,Geneva : International Labour Office,1980,no
E183.8.I7 P36,Henry Paolucci,Iran Israel and the United States : an American foreign policy background study ,0918680441;9780918680440,Whitestone,1991,no
JQ1785.A1 .B35,Shaul Bakhash,Iran monarchy bureaucracy & reform under the Qajars 1858-1896 ,0902729369;0903729369;9780903729369,London : Ithaca Press for the Middle East Centre,1978,no
F869.L89 I55,edited  Ron Kelley ; Jonathan Friedlander, co-editor ; Anita Col, associate editor ; photography  Ron Kelley,Irangeles : Iranians in Los Angeles ,0520080084;9780520080089;0520080092;9780520080096,no
JQ1825.I759 R49,Reza Rezazadeh,Iraq and democracy : a futuristic perspective ,0962903213;9780962903212,Platteville,1993,no
JC49 .C48,GW Choudhury,Islam and the modern Muslim world ,0905906438;9780905906430,London : Scorpion Pub,1993,no
JC599.A65 D34,Katerina Dalacoura,Islam liberalism and human rights : implications for international relations ,1860643159;9781860643156,London ; New York : IB Tauris,1998,no
JC49 .I85,edited  Hussin Mutalib and Taj ul-Islam Hashmi,Islam Muslims and the modern state : case-studies of Muslims in thirteen countries ,0333591488;9780333591482;033366969X;9780333669693;031210300X;9780312103002,New York : St Martin's ; Basingstoke : Macmillan,1994,no
JC49 .K5313,"Ayatollah Ruhollah Khomeini ; translated  Joint Publications Research Service""",Ḥukūmah al-Islāmīyah English+Islamic government ,053223166X;9780532231660,New York : Manor Books,1979,no
JC49 .F47,Mohamed-Chérif Ferjani ; préface d'Ali Merad,Islamisme laïcité et droits de l'homme : un siècle de débat sans cesse reporté au sein de la pensée arabe contemporaine ,2738410251;9782738410252,Paris : Editions L'Harmattan,1991,no
E183.8.I7 G76,Peter Grose,Israel in the mind of America ,0394516583;9780394516585,New York : Knopf,1983,no
JQ1830 .D47,Jacques Derogy, Hesi Carmel,Israël ultra-secret ,2221055284;9782221055281,Paris : Éditions Robert Laffont,no
E184.J5 G615,JJ Goldberg,Jewish power : inside the American Jewish establishment ,0201327988;9780201327984;0201622424;9780201622423,Reading,1997,no
F449.3 .K440,text  Don Edwards ; photographs  William Strode,Kentucky : a photographic celebration ,0938314858;9780938314851;0938314874 : 12.95;9780938314875,Helena,1990,no
JK468.I6 B59,William Blum,Killing hope : US military and CIA interventions since World War II ,1567510531;9781567510539;1567510523;9781567510522,Monroe,1995,no
JC49 .A86 ,Mohammed Arkoun,L'islam morale et politique ,2220026272;9782220026275;9232024098;9789232024091,Paris : Descl de Brouwer,A744,no
E876 .M38,Jane Mayer and dolye McManus,Landslide : the unmaking of the president 1984-1988 ,039545185X,Boston : Houghton Mifflin,1988,no
JQ1825.L45 B3,Abdo I Baaklini,Legislative and political development : Lebanon 1842-1972 ,0822303353;9780822303350,Durham,1976,no
JC330 .G55,Michael Gilsenan,Lords of the Lebanese marches : violence and narrative in an Arab society ,1850430853;9781850430858;1850430993;9781850430995,London ; New York : IB Tauris,1996,no
E183.8.I55 P34,Alex Paen ; written with James H Brown,Love from America : a newsman's account of efforts to aid hostages in Tehran ,0915677334;9780915677337,Santa Monica,1989,no
JC599.I75 T47,Teresa Thornhill ; with a foreword  Geoffrey Bindman,Making women talk : the interrogation of Palestinian women security detainees by the Israeli general security services ,0951961004;9780951961001,London : Lawyers for Palestinian Human Rights,1992,no
JA82 .L4,Edited  Ralph Lerner and Muhsin Mahdi, with the collaboration of Ernest L Fortin,Medieval political philosophy : a sourcebook ,0801491398;9780801491399,Ithaca,no
E876 .C63,William S Cohen, George J Mitchell,Men of zeal : a candid inside story of the Iran-Contra hearings ,0670822523;9780670822522,New York : Viking,no
JQ1825.L4 S33,par Edmond Rabbath,Modernization without revolution  Lebanon's experience,0253338700;9780253338709,Bloomington : Indiana University Press,1973,no
E882.2 .G774,Stephen R Graubard,Mr Bush's war : adventures in the politics of illusion ,1850433666;9781850433668,London : Tauris,1992,no
JQ3396.A3 1970 .B43,Lucy C Behrman,Muslim brotherhoods and politics in Senegal ,0674594908;9780674594906,Cambridge,1970,no
E183.8.E35 S29,Muhammad Abd el-Wahab Sayed-Ahmed,Nasser and American foreign policy 1952-1956 ,1870326148;9781870326148,London : LAAM,1989,no
E183.8.I55 T34,Amir Taheri,Nest of spies : America's journey to disaster in Iran ,0091734584;9780091734589,London : Hutchinson,1988,no
E183.8.I7 T34,Amir Taheri,Nest of spies : America's journey to disaster in Iran ,0394575660 : $19.95;9780394575667,New York : Pantheon Books,1988,no
JX1974.74.M627 F45,Shai Feldman,Nuclear weapons and arms control in the Middle East ,0262061899;9780262061896;0262561085;9780262561082,Cambridge,1997,no
E840.8.S84 A36,William H Sullivan,Obbligato 1939-1979 : notes on a foreign service career ,0393018091;9780393018097,New York : Norton,1984,no
E184.A1 O23,edited  James G Carrier,Occidentalism : images of the West ,0198279787;9780198279785;0198279795;9780198279792,Oxford : Clarendon Press ; New York : Oxford University Press,1995,no
