child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
jb150lap,jb100,JB150LAP,JB100,Liberty and property : a social history of Western political thought from Renaissance to Enlightenment ,Ellen Meiksins Wood,1844677524; 9781844677528,Verso,2012
jb170tro,jb100,JB170TRO,JB100,The rebirth of history ,"Alain Badiou ; translated  Gregory Elliott""",1844678792; 9781844678792,Verso,2012
jb210at,jb200,JB210AT,JB200,Anti-democratic thought ,edited  Erich Kofmel,1845401247; 9781845401245,Imprint Academic,2008
jb160la,jb100,JB160LA,JB100,Liberty abroad : J.S. Mill on international relations ,Georgios Varouxakis,1107039142; 9781107039148,Cambridge University Press,2013
jb200ato,jb200,JB200ATO,JB200,A theory of freedom ,Stanley I Benn,9780521342605; 0521342600,CUP,1988
jb130tp,jb100,JB130TP,JB100,The prince ,"The prince ; edited  Quentin Skinner and Russell Price""",9780521342407; 0521342406; 9780521349932; 0521349931,Cambridge University Press,1988
jb120asd,jb100,JB120ASD,JB100,A short discourse on the tyrannical government over things divine and human; but especially over the Empire and those subject to the Empire; usurped by some who are called highest pontiffs ,"William of Ockham ; edited  Arthur Stephen McGrade ; translated  John Kilcullen""",9780521352420; 0521352428; 9780521358033; 0521358035,Cambridge University Press,1992
jb140tpw,jb100,JB140TPW,JB100,The political writings of Leibniz ,"translated and edited with an introduction and notes  Patrick Riley""",9780521353809; 0521353807,CUP,1972
jb120po,jb100,JB120PO,JB100,Policraticus : of the frivolities of courtiers and the footprints of philosophers ,"edited and translated  Cary J Nederman""",9780521363990; 0521363993; 9780521367011; 0521367018,Cambridge University Press,1990
jb130pw,jb100,JB130PW,JB100,Political writings ,Francisco de Vitoria ; edited  Anthony Pagden and Jeremy Lawrance,9780521364423; 0521364426; 9780521367141; 052136714X,Cambridge University Press,1991
jb230tgw,jb200,JB230TGW,JB200,The general will : Rousseau; Marx; communism ,Andrew Levine,9780521443227; 0521443229; 9780521062282; 0521062284,Cambridge University Press,1993
jb200hai,jb200,JB200HAI,JB200,History and illusion in politics ,Raymond Geuss,9780521805964; 0521805961; 9780521000437; 0521000432,Cambridge University Press,2001
jb0pp,jb0,JB0PP,JB0,Political philosophy : a very short introduction ,David Miller,9780192803955; 0192803956,Oxford University Press,2003
jb210tfo,jb200,JB210TFO,JB200,The future of freedom : illiberal democracy at home and abroad ,Fareed Zakaria ; [with a new afterword],0393047644; 9780393047646; 0393324877; 9780393324877,W W Norton,2004
jb0ap,jb0,JB0AP,JB0,Alternative paradigms : the impact of Islamic and Western Weltanschauungs on political theory ,Ahmet Davutoglu,9780819190468; 0819190462; 9780819190475; 0819190470,University Press of America,1994
