CallNumber,Author,Title,ISBN,PubName,PubYear,CB
E 184.I8 MAN,Jerre Mangione & Ben Morreale,La storia : five centuries of the Italian American experience; 1492-1992 ,9780060167783; 0060167785; 9780060924416; 0060924411,HarperCollins Publishers,1992,yes
E 184.S75 ROD,Richard Rodriguez,Brown : the last discovery of America ,0670030430; 9780670030439; 0142000795; 9780142000793,Viking,2002,yes
E 152 Mer,James H Merrell,Into the American woods : negotiators on the Pennsylvania frontier ,9780393046762; 0393046761,Norton,1999,yes
E 210 BEE,Richard R Beeman,Our lives; our fortunes and our sacred honor : the forging of American independence; 1774-1776 ,046502629X; 9780465026296,Basic Books A Member of the Perseus Books Group,2013,yes
E 188 TAY,Alan Taylor ; [map illustrations  Jeffrey Ward],American colonies ,9780142002100; 0142002100,Penguin,2002,yes
E 178 FON,Eric Foner,Give me liberty! : An American history ,0393934306; 9780393934304; 0393911896; 9780393911893,WW Norton,2011,yes
E 191 BAI,Bernard Bailyn,The barbarous years : the peopling of British North America : the conflict of civilizations; 1600-1675 ,0394515706; 9780394515700,Alfred A Knopf,2012,yes
E 178 DEG,Carl N Degler,Out of our past : the forces that shaped modern America ,9780061319853; 0061319856,Harper & Row,1984,yes
E 169.1 HOF,Richard Hofstadter,Anti-intellectualism in American life ,9780394703176; 0394703170,Vintage Books,1963,yes
E 178 Gre,edited  Clarence L  Ver Steeg and Richard Hofstadter,Great issues in American history ,9780394705408; 0394705408,Vintage Books,1969,yes
E 183.8.R9 LAF,Walter LaFeber,America; Russia; and the Cold War; 1945-2006 ,0073534668; 9780073534664,McGraw-Hill,2008,yes
E 169.Z83 SOL,Rebecca Solnit,A field guide to getting lost ,9780143037248; 0143037242,Penguin,2006,yes
E 188.5 BAI,Joseph C Morton,The peopling of British North America : an introduction ,9780394757797; 0394757793; 9780394553924; 0394553926,Vintage Books,1988,yes
E 178 Bro,Hugh Brogan,The Penguin history of the United States of America ,9780140252552; 014025255X,Penguin,2001,yes
E 302.5 WOO,Gordon S Wood,Revolutiory characters : what made the founders different ,1594200939; 9781594200939; 0143112082; 9780143112082,Penguin Press,2007,yes
E 169.1 YOU,William H Young and Nancy K Young,The Great Depression in America : a cultural encyclopedia.,0313335206; 9780313335204; 9780313335211; 0313335214,Harcourt Education distributor; Greenwood,2007,yes
E 161 MIL,Perry Miller,The life of the mind in America : from the Revolution to the Civil War ,9780156519908; 0156519909,Harcourt,1965,yes
E 178 Mor,Samuel Eliot Morison and Henry Steele Commager,The growth of the American republic ,9780195025934; 0195025938,OUP,1980,yes
E 183.8.I75 BAS,Warren Bass,Support any friend : Kennedy's Middle East and the making of the U.S.-Israel alliance ,9780195177503; 0195177509; 9780195165807; 0195165802,Oxford University Press,2004,yes
E 185.615 PEA,Hugh Pearson,The shadow of the panther : Huey Newton and the price of Black power in America ,9780201632781; 0201632780; 9780201483413; 0201483416,Addison-Wesley,1994,yes
E 183 Wie,Robert H Wiebe,Self-rule : a cultural history of American democracy ,9780226895628; 0226895629,U of Chicago P,1995,yes
E 184.C5 Tsa,Shih-shan Henry Tsai,The Chinese experience in America ,9780253203878; 0253203872,India UP,1986,yes
E 185.97.X A3,with the assistance of Alex Haley ; foreword  Attallah Shabazz ; introduction  MS Handler ; epilogue  Alex Haley ; afterword  Ossie Davis,The autobiography of Malcolm X ,0345350685; 9780345350688,Ballantine,1999,yes
E 185.61 GRI,John Howard Griffin,Black like me ,0451234219; 9780451234216,Signet,2010,yes
E 161.12 SCH,Bruce J Schulman,The seventies : the great shift in American culture; society; and politics ,030681126X; 9780306811265,Da Capo,2002,yes
E 185.61 LEM,Nicholas Lemann,Redemption : the last battle of the Civil War ,0374530693; 9780374530696; 0374530696; 9780374530693,Farrar Straus and Giroux,2007,yes
E 183.8.S65 LEF,Melvyn P Leffler,For the soul of mankind : the United States; the Soviet Union; and the Cold War ,0809097176; 9780809097173; 0374531420; 9780374531423,Hill and Wang,2007,yes
